,sentence,pubmed_id,content,label,labeler
0,"2 |||  ||| 0.2 ||| Objective To compare the effects of the angiotensin II antagonist, losartan, with those of atenolol on left ventricular hypertrophy (LVH), blood pressure and neurohormone concentrations in hypertensive patients with LVH.",12195129,"compare the effects of the angiotensin II antagonist, losartan, with those of atenolol on left ventricular hypertrophy (LVH), blood pressure and neurohormone concentrations in hypertensive patients with LVH",pr.SS,limingqi
1,5 |||  ||| 0.5 ||| Patients Hypertensive patients with an echocardiographically documented left ventricular mass index (LVMI) > 120 g/m 2 (men) or > 105 g/m 2 (women).,12195129,Hypertensive patients with an echocardiographically documented left ventricular mass,po.Clinical,limingqi
2,"36 ||| Patients ||| 3.5 ||| The study included men and women, aged 21-80 years, with mild-to-moderate essential hypertension and echocardiographically documented LVH assessed up to 30 days before enrolment.",12195129, men and women,po.Gender,limingqi
3,"36 ||| Patients ||| 3.5 ||| The study included men and women, aged 21-80 years, with mild-to-moderate essential hypertension and echocardiographically documented LVH assessed up to 30 days before enrolment.",12195129,aged 21-80 years,po.Age,limingqi
4,"36 ||| Patients ||| 3.5 ||| The study included men and women, aged 21-80 years, with mild-to-moderate essential hypertension and echocardiographically documented LVH assessed up to 30 days before enrolment.",12195129,with mild-to-moderate essential hypertension,po.Clinical,limingqi
5,"45 ||| Patients ||| 3.14 ||| Patients were randomly assigned, in a double-blind manner, to receive losartan or atenolol (50 mg once daily) for 36 weeks (Fig.",12195129,receive losartan or atenolol (50 mg once daily) for 36 weeks ,i.Procedure,limingqi
6,"133 ||| Discussion ||| 7.1 ||| Our findings confirm those of previous smaller studies showing the ability of losartan [14][15][16]18,19] and other Ang II antagonists, including valsartan [17] and irbesartan [20], to produce significant improvements in one or more indices of LVH, including LVM, LVMI and left ventricular geometry, in hypertensive patients.",12195129,"the ability of losartan [14][15][16]18,19] and other Ang II antagonists, including valsartan [17] and irbesartan [20], to produce significant improvements in one or more indices of LVH",o.Treatment,limingqi
7,13 |||  ||| 0.13 ||| Conclusions Both losartan-and atenolol-based regimens effectively decreased blood pressure.,12195129,Both losartan-and atenolol-based regimens effectively decreased blood pressure,o.Treatment,limingqi
8,"18 |||  ||| 0.18 ||| Results The estimated treatment difference between the losartan and atenolol regimens (mean change from baseline at week 36) in LVMI was 22.5 g/m 2 [95% confidence interval (CI) 27.36 to 2.37 g/m 2 ] in favor of losartan, indicating that losartan was significantly non-inferior (P < 0.001, non-inferiority limit 8 g/m 2) and numerically superior to atenolol in reducing LVMI.",12195129,"losartan was significantly non-inferior (P < 0.001, non-inferiority limit 8 g/m 2) and numerically superior to atenolol in reducing LVMI",o.Treatment,limingqi
9,"156 ||| Discussion ||| 7.24 ||| Overall, both the losartan and atenolol regimens were well tolerated, although the incidence of drug-related clinical adverse events in patients receiving losartan was significantly lower than that in patients receiving atenolol.",12195129,both the losartan and atenolol regimens were well tolerated,o.Treatment,limingqi
10,"156 ||| Discussion ||| 7.24 ||| Overall, both the losartan and atenolol regimens were well tolerated, although the incidence of drug-related clinical adverse events in patients receiving losartan was significantly lower than that in patients receiving atenolol.",12195129,the incidence of drug-related clinical adverse events in patients receiving losartan was significantly lower than that in patients receiving atenolol,o.Treatment,limingqi
