,sentence,pubmed_id,content,label,labeler
0,"18 ||| Materials and Methods ||| 2.1 ||| All women requiring induction of labor at or beyond term (37-42 weeks of gestation) with a single live cephalic presenting fetus, an unfavorable cervix (Bishop score £6) 8 and intact membranes were recruited for this study.",15327448,All women,po.Gender,ml
1,1 |||  ||| 0.1 ||| Objective: To compare the efficacy of oral with vaginal misoprostol for induction of labor at term.,15327448,To compare the efficacy of oral with vaginal misoprostol for induction,pr.Disease,ml
2,27 ||| Materials and Methods ||| 2.10 ||| A total of 151 women completed the study.,15327448,151 women,po.Size,ml
3,28 ||| Materials and Methods ||| 2.11 ||| One in each group was excluded because they were found to have breech presentation when the membranes were ruptured.,15327448,breech presentation,po.Disease,ml
4,43 ||| Results ||| 3.1 ||| One hundred and fifty-one women eligible for the trial received the medication by the route they were assigned.,15327448,One hundred and fifty-one women,po.Size,ml
5,2 |||  ||| 0.2 ||| Methods: One hundred and fifty-three pregnant women at term with indications for induction of labor and Bishop score £6 were randomly assigned to receive misoprostol either 100 mg orally or 50 mg vaginally every 6 h for 48 h. Repeated doses were given until Bishop score ≥8 was achieved or spontaneous rupture of membranes occurred.,15327448, receive misoprostol either 100 mg orally or 50 mg vaginally every 6 h for 48 h,i.Procedure,ml
6,20 ||| Materials and Methods ||| 2.3 ||| A sample size of 94 women (47 in each group) was calculated using a two-tailed alpha of 0.05 and a power of 90%.,15327448,using a two-tailed alpha of 0.05,i.Procedure,ml
7,"24 ||| Materials and Methods ||| 2.7 ||| From October 2001 to May 2003, a total of 153 women gave signed written informed consent to participate in the trial and were randomized into two groups; one group to receive 100 mg of oral misoprostol and the other group to receive 50 mg of vaginal misoprostol.",15327448,receive 100 mg of oral misoprostol,i.Procedure,ml
8,30 ||| Materials and Methods ||| 2.13 ||| All women had electronic fetal heart rate (FHR) monitoring for 20 min prior to and following administration of misoprostol.,15327448,electronic fetal heart rate (FHR) monitoring,i.Diagnostic,ml
9,"31 ||| Materials and Methods ||| 2.14 ||| Women randomized to vaginal route had Bishop score assessed prior to each dose, and the same procedure applied to the oral route.",15327448,Bishop score,i.DiagnosticTest,ml
10,33 ||| Materials and Methods ||| 2.16 ||| Women received 100 mg of misoprostol orally or 50 mg of misoprostol vaginally every 6 h until one of the following outcomes occurred: Bishop score ≥8; spontaneous ruptured membranes; or completion of eight doses.,15327448,received 100 mg of misoprostol orally or 50 mg of misoprostol vaginally every 6 h,i.Procedure,ml
11,49 ||| Results ||| 3.7 ||| The median total misoprostol doses required and the number of women received oxytocin augmentation were not significantly different between the two groups.,15327448,not significantly different,i.Disease,ml
12,"52 ||| Results ||| 3.10 ||| Tachysystole was identified in four women in the oral group compared with 13 women in the vaginal group, and the difference was statistically significant.",15327448,Tachysystole,i.Disease,ml
13,61 ||| Discussion ||| 4.4 ||| The study presented here shows that women who received 100 mg misoprostol orally experienced similar induction to delivery time when compared with women who received 50 mg vaginal misoprostol.,15327448,experienced similar induction to delivery time,o.Patient,ml
14,"62 ||| Discussion ||| 4.5 ||| In this study, more women in the oral group required oxytocin augmentation than in the vaginal group, but the difference was not significant.",15327448,oxytocin augmentation,o.Patient,ml
