,sentence,pubmed_id,content,label,labeler
0,23 ||| Patients ||| 3.2 ||| Investigators enrolled men and women ages 18 to 80 years with uncomplicated essential hypertension whose sitting diastolic BP (SiDBP) following a 4-or 5-week placebo run-in period was between 95 and 114 mm Hg.,16580575,ages 18 to 80 years,po.Age,HeYingzhi
1,23 ||| Patients ||| 3.2 ||| Investigators enrolled men and women ages 18 to 80 years with uncomplicated essential hypertension whose sitting diastolic BP (SiDBP) following a 4-or 5-week placebo run-in period was between 95 and 114 mm Hg.,16580575,men and women,po.Gender,HeYingzhi
2,23 ||| Patients ||| 3.2 ||| Investigators enrolled men and women ages 18 to 80 years with uncomplicated essential hypertension whose sitting diastolic BP (SiDBP) following a 4-or 5-week placebo run-in period was between 95 and 114 mm Hg.,16580575,uncomplicated essential hypertension,po.Disease,HeYingzhi
3,"34 ||| Statistical Methods ||| 5.1 ||| The sample size estimate of 1152 patients considered the assumptions: SiDBP differences of 3.5 mm Hg, standard deviation of the difference of 8 mm Hg, two-sided significance level of 0.050, power of 80%, and a 15% dropout rate.",16580575,1152 patients,po.Size,HeYingzhi
4,20 ||| Patients and Methods ||| 2.5 ||| Patients assigned to ER felodipine 20 mg and/or ER metoprolol succinate 400 mg received half doses for 1 week before escalation to the full dose.,16580575,Patients assigned to ER felodipine 20 mg and/or ER metoprolol succinate 400 mg received half doses for 1 week before escalation to the full dose,i.Procedure,HeYingzhi
5,"83 ||| Statistical Methods ||| 5.50 ||| Fatigue in patients receiving high-dose (400 mg) ER metoprolol succinate in combination with medium-to high-dose (10 and 20 mg) ER felodipine was relatively common (20% for 10/400 mg and 18% for 20/400 mg, and 2% to 9% for the other treatment groups).",16580575,"Fatigue in patients receiving high-dose (400 mg) ER metoprolol succinate in combination with medium-to high-dose (10 and 20 mg) ER felodipine was relatively common (20% for 10/400 mg and 18% for 20/400 mg, and 2% to 9% for the other treatment groups).",i.SS,HeYingzhi
6,93 ||| Discussion ||| 6.1 ||| The M-FACT findings confirm that metoprolol succinate ER and felodipine ER both lower BP in a dose-dependent fashion in a hypertensive US population.,16580575,metoprolol succinate ER and felodipine ER both lower BP in a dose-dependent fashion in a hypertensive US population,o.Patient,HeYingzhi
7,"100 ||| Discussion ||| 6.8 ||| Thus, expanded combinations could provide treating physicians with an even wider range of effective treatments.",16580575,expanded combinations could provide treating physicians with an even wider range of effective treatments.,o.Treatment,HeYingzhi
8,"76 ||| Statistical Methods ||| 5.43 ||| Subgroup analyses of sitting BP based on age (Ͻ65 years versus Ն65 years), ethnicity (African American versus non-African American), sex, and a diagnosis of diabetes failed to identify significant treatment by subgroup interactions; however the power of the test was low given the many subgroups, some with small sample sizes.",16580575,"Subgroup analyses of sitting BP based on age (Ͻ65 years versus Ն64 years), ethnicity (African American versus non-African American), sex, and a diagnosis of diabetes",i.Disease,HeYingzhi
9,"19 ||| Patients and Methods ||| 2.4 ||| After the placebo run-in, patients meeting BP criteria were randomized to one of the 16 treatment groups.",16580575,patients meeting BP criteria were randomized to one of the 16 treatment groups,i.Procedure,HeYingzhi
10,"26 ||| Patients ||| 3.5 ||| To maintain blinding, patients received 6 active or placebo tablets or both each morning, packaged according to a double-dummy dosing scheme.",16580575,"patients received 6 active or placebo tablets or both each morning, packaged according to a double-dummy dosing scheme",i.Procedure,HeYingzhi
