,sentence,pubmed_id,content,label,labeler
0,"3 |||  ||| 0.3 ||| Methods We randomly assigned 12,562 patients who had presented within 24 hours after the onset of symptoms to receive clopidogrel (300 mg immediately, followed by 75 mg once daily) (6259 patients) or placebo (6303 patients) in addition to aspirin for 3 to 12 months.",11519503,"12,562 patients",po.Size,奉捷
1,"3 |||  ||| 0.3 ||| Methods We randomly assigned 12,562 patients who had presented within 24 hours after the onset of symptoms to receive clopidogrel (300 mg immediately, followed by 75 mg once daily) (6259 patients) or placebo (6303 patients) in addition to aspirin for 3 to 12 months.",11519503,6259 patients,po.Size,奉捷
2,"3 |||  ||| 0.3 ||| Methods We randomly assigned 12,562 patients who had presented within 24 hours after the onset of symptoms to receive clopidogrel (300 mg immediately, followed by 75 mg once daily) (6259 patients) or placebo (6303 patients) in addition to aspirin for 3 to 12 months.",11519503,6303 patients,po.Size,奉捷
3,"16 ||| Conclusions ||| 2.5 ||| However, after a review of the overall rates of events among the first 3000 patients, the steering committee recommended that we enroll only patients who had either electrocardiographic changes or an elevation in the serum level of cardiac enzymes or markers at entry.",11519503,3000 patients,po.Size,奉捷
4,"16 ||| Conclusions ||| 2.5 ||| However, after a review of the overall rates of events among the first 3000 patients, the steering committee recommended that we enroll only patients who had either electrocardiographic changes or an elevation in the serum level of cardiac enzymes or markers at entry.",11519503, had either electrocardiographic changes or an elevation in the serum level of cardiac enzymes or markers at entry,po.Disease,奉捷
5,101 ||| DISCUSSION ||| 6.1 ||| Our study demonstrates the benefit of adding clopidogrel to the regimen of treatment for patients with acute coronary syndromes without ST-segment elevation who are receiving aspirin and other medications.,11519503,adding clopidogrel,i.Procedure,奉捷
6,101 ||| DISCUSSION ||| 6.1 ||| Our study demonstrates the benefit of adding clopidogrel to the regimen of treatment for patients with acute coronary syndromes without ST-segment elevation who are receiving aspirin and other medications.,11519503,receiving aspirin and other medications,i.Procedure,奉捷
7,"3 |||  ||| 0.3 ||| Methods We randomly assigned 12,562 patients who had presented within 24 hours after the onset of symptoms to receive clopidogrel (300 mg immediately, followed by 75 mg once daily) (6259 patients) or placebo (6303 patients) in addition to aspirin for 3 to 12 months.",11519503,receive clopidogrel,i.Procedure,奉捷
8,"14 ||| Conclusions ||| 2.3 ||| In patients who are undergoing percutaneous transluminal coronary angioplasty (PTCA) with stenting, shortterm aspirin treatment plus a thienopyridine derivative results in a substantially lower rate of myocardial infarction than does either aspirin alone or warfarin.",11519503,shortterm aspirin treatment,i.Procedure,奉捷
9,"14 ||| Conclusions ||| 2.3 ||| In patients who are undergoing percutaneous transluminal coronary angioplasty (PTCA) with stenting, shortterm aspirin treatment plus a thienopyridine derivative results in a substantially lower rate of myocardial infarction than does either aspirin alone or warfarin.",11519503,either aspirin alone or warfarin,i.Procedure,奉捷
10,"126 ||| DISCUSSION ||| 6.26 ||| In summary, clopidogrel significantly reduces the risk of the composite outcome of death from cardiovascular causes, nonfatal myocardial infarction, or stroke, as well as a range of related ischemic events.",11519503,significantly reduces the risk of the composite outcome of death,o.Treatment,奉捷
11,"102 ||| DISCUSSION ||| 6.2 ||| Treatment with clopidogrel reduced the risk of myocardial infarction and recurrent ischemia, with a trend toward lower rates of stroke and death from cardiovascular causes.",11519503,with a trend toward lower rates of stroke and death,o.Patient,奉捷
12,62 ||| RESULTS ||| 5.7 ||| Radiologic evidence of heart failure was found in fewer patients in the clopidogrel group (229 [ *Plus-minus values are means ±SD.,11519503,heart failure was found in fewer patients,o.Treatment,奉捷
