,sentence,pubmed_id,content,label,labeler
0,2 |||  ||| 0.2 ||| This randomized controlled study investigated the difference between an angiotensin receptor blocker and a calcium channel blocker in reducing arterial stiffness.,23126349,investigated the difference between an angiotensin receptor blocker and a calcium channel blocker in reducing arterial stiffness,pr.SS,limingqi
1,"14 |||  ||| 0.14 ||| To our knowledge, this study is the first to compare the efficacy of a RAS vs a non-RAS antihypertensive agent on arterial stiffness in postmenopausal women with hypertension.",23126349,first to compare the efficacy of a RAS vs a non-RAS antihypertensive agent on arterial stiffness in postmenopausal women with hypertension,pr.SS,limingqi
2,"41 ||| Patients ||| 3.1 ||| Postmenopausal women (aged 50-75 years) with mild to moderate hypertension (SBP !140 mm Hg, DBP <110 mm Hg, and pulse pressure [PP] !50 mm Hg) were eligible for enrollment.",23126349,Postmenopausal women,po.PhyConditon,limingqi
3,"41 ||| Patients ||| 3.1 ||| Postmenopausal women (aged 50-75 years) with mild to moderate hypertension (SBP !140 mm Hg, DBP <110 mm Hg, and pulse pressure [PP] !50 mm Hg) were eligible for enrollment.",23126349,Postmenopausal women,po.Gender,limingqi
4,"41 ||| Patients ||| 3.1 ||| Postmenopausal women (aged 50-75 years) with mild to moderate hypertension (SBP !140 mm Hg, DBP <110 mm Hg, and pulse pressure [PP] !50 mm Hg) were eligible for enrollment.",23126349,aged 50-75 years,po.Age,limingqi
5,"41 ||| Patients ||| 3.1 ||| Postmenopausal women (aged 50-75 years) with mild to moderate hypertension (SBP !140 mm Hg, DBP <110 mm Hg, and pulse pressure [PP] !50 mm Hg) were eligible for enrollment.",23126349,with mild to moderate hypertension,po.SS,limingqi
6,43 ||| Patients ||| 3.3 ||| Exclusion criteria included BP above the safety limit of SBP !180 mm Hg and ⁄ or DBP !110 mm Hg before or at any point during the study.,23126349,BP above the safety limit of SBP ,po.SS,limingqi
7,"3 |||  ||| 0.3 ||| Overall, 125 postmenopausal hypertensive women (age, 61.4AE6 years; systolic blood pressure ⁄ diastolic blood pressure [SBP ⁄ DBP], 158AE11 ⁄ 92AE9 mm Hg) were randomized to valsartan 320 mgAEhydrochlorothiazide (HCTZ) (n=63) or amlodipine 10 mgAEHCTZ (n=62).",23126349, randomized to valsartan 320 mgAEhydrochlorothiazide (HCTZ) (n=63) or amlodipine 10 mgAEHCTZ (n=62),i.Procedure,limingqi
8,"15 |||  ||| 0.15 ||| METHODS Study Design This was a 42-week, single-center, randomized, controlled , double-blind study.",23126349,"a 42-week, single-center, randomized, controlled , double-blind study",i.Procedure,limingqi
9,"17 |||  ||| 0.17 ||| The present study comprised (1) a 4-week screening period (a 2-week wash-out period and a 2-week placebo run-in phase), and (2) a 38-week double-blind treatment period.",23126349,"a 4-week screening period (a 2-week wash-out period and a 2-week placebo run-in phase), and (2) a 38-week double-blind treatment period",i.Diagnostic,limingqi
10,"18 |||  ||| 0.18 ||| All eligible patients were randomized (1:1) to receive valsartan 160 mg or amlodipine 5 mg. After 4 weeks of treatment , patients were force-titrated to valsartan 320 mg and amlodipine 10 mg until the end of the study.",23126349, randomized (1:1) to receive valsartan 160 mg or amlodipine 5 mg,i.Procedure,limingqi
11,"18 |||  ||| 0.18 ||| All eligible patients were randomized (1:1) to receive valsartan 160 mg or amlodipine 5 mg. After 4 weeks of treatment , patients were force-titrated to valsartan 320 mg and amlodipine 10 mg until the end of the study.",23126349, force-titrated to valsartan 320 mg and amlodipine 10 mg until the end of the study,i.Procedure,limingqi
12,"87 ||| DISCUSSION ||| 7.2 ||| At the study endpoint, both treatment groups showed a reduction in PWV, with a slightly greater decrease in the valsartan group compared with the amlodipine group (change from baseline, )1.9AE0.3 vs )1.7AE0.3 m ⁄ s; P=not signficant).",23126349,with a slightly greater decrease in the valsartan group compared with the amlodipine group,o.Treatment,limingqi
13,91 ||| DISCUSSION ||| 7.6 ||| The other clinically interesting finding of the study was the observation of a very high percentage of edema in patients taking the CCB to reach target BP as specified by the study design in this postmenopausal hypertensive female population.,23126349,the observation of a very high percentage of edema,o.Treatment,limingqi
14,104 ||| DISCUSSION ||| 7.19 ||| Catecholamines have been shown to inactivate nitric oxide (NO) and impair endothelial vasomotion via enhanced reactive oxygen species production and possibly via endothelin secretion.,23126349,inactivate nitric oxide (NO) and impair endothelial vasomotion,o.Treatment,limingqi
