,sentence,pubmed_id,content,label,labeler
0,"20 ||| Results ||| 2.2 ||| From these, 90 consecutive patients with unstable angina or acute MI who fulfilled the inclusion criteria were prospectively included in the randomized protocol, and 44 patients received atorvastatin 40 mg daily and 46 patients placebo.",15864233,90 consecutive patients,po.Size,HeYingzhi
1,"20 ||| Results ||| 2.2 ||| From these, 90 consecutive patients with unstable angina or acute MI who fulfilled the inclusion criteria were prospectively included in the randomized protocol, and 44 patients received atorvastatin 40 mg daily and 46 patients placebo.",15864233,unstable angina or acute MI,po.Disease,HeYingzhi
2,"20 ||| Results ||| 2.2 ||| From these, 90 consecutive patients with unstable angina or acute MI who fulfilled the inclusion criteria were prospectively included in the randomized protocol, and 44 patients received atorvastatin 40 mg daily and 46 patients placebo.",15864233,44 patients received atorvastatin 40 mg daily and 46 patients placebo,i.Procedure,HeYingzhi
3,24 ||| Results ||| 2.6 ||| C-reactive protein levels significantly decreased from baseline to discharge and 1 month later in the placebo ( P b .0001) as well as in the atorvastatin group ( P b .0001).,15864233,C-reactive protein levels significantly decreased,i.SS,HeYingzhi
4,"25 ||| Results ||| 2.7 ||| However, the quantitative and proportional reduction was significantly higher in the atorvastatin group than the placebo group (62% vs 11% at discharge [ P b .0001], 84% vs 30% at 1 month [ P b .0001]) (Table II)  (Figure 2).",15864233,quantitative and proportional reduction was significantly higher in the atorvastatin group than the placebo group,i.SS,HeYingzhi
5,34 ||| Results ||| 2.16 ||| Baseline T-C levels were comparable in both groups (194.3 F 36.2 vs 194.3 F 33.6 mg/dL).,15864233,Baseline T-C levels were comparable in both groups,i.SS,HeYingzhi
6,55 ||| Results ||| 2.37 ||| There were no changes in WBC and fibrinogen levels over time and no differences between the atorvastatin or placebo groups (Table III).,15864233,no changes in WBC and fibrinogen levels,i.SS,HeYingzhi
7,"52 ||| Results ||| 2.34 ||| These findings showed that the reduction of CRP levels was significantly higher in individuals with more reduction in LDL-C in placebo group, but atorvastatin obtained higher effect on CRP levels at 30 days, independently of LDL-C reduction.",15864233,reduction of CRP levels was significantly higher in individuals with more reduction in LDL-C in placebo group,o.Treatment,HeYingzhi
8,"52 ||| Results ||| 2.34 ||| These findings showed that the reduction of CRP levels was significantly higher in individuals with more reduction in LDL-C in placebo group, but atorvastatin obtained higher effect on CRP levels at 30 days, independently of LDL-C reduction.",15864233,"atorvastatin obtained higher effect on CRP levels at 30 days, independently of LDL-C reduction",o.Treatment,HeYingzhi
9,37 ||| Results ||| 2.19 ||| Low-density lipoprotein cholesterol levels were comparable at baseline in both groups.,15864233,Low-density lipoprotein cholesterol levels were comparable at baseline in both groups.,o.Treatment,HeYingzhi
