,sentence,pubmed_id,content,label,labeler
0,"1 |||  ||| 0.1 ||| We examined long-term influence of the angiotensin II Key Words: aldosterone, angiotensin II, insulin, left ventricular hy-pertrophy, norepinephrine, renin type 1-receptor blocker irbesartan and the beta 1-adrenergic receptor blocker atenolol on some neurohormonal systems implicated in the pathophysiology of cardiac hypertrophy.",14639093,n some neurohormonal systems implicated in the pathophysiology of cardiac hypertrophy,pr.SS,limingqi
1,18 ||| Study Design ||| 1.1 ||| A total of 115 hypertensive patients with LV hypertrophy verified by echocardiography were enrolled in the Swedish Irbesartan Left Ventricular Hypertrophy Investigation versus Atenolol (SILVHIA).,14639093,115 hypertensive patients,po.Size,limingqi
2,18 ||| Study Design ||| 1.1 ||| A total of 115 hypertensive patients with LV hypertrophy verified by echocardiography were enrolled in the Swedish Irbesartan Left Ventricular Hypertrophy Investigation versus Atenolol (SILVHIA).,14639093,with LV hypertrophy verified by echocardiography were enrolled in the Swedish Irbesartan Left Ventricular Hypertrophy Investigation versus Atenolol (SILVHIA),po.Treatment,limingqi
3,"26 ||| Study Design ||| 1.9 ||| Another 3 patients were excluded from further echocardiographic evaluation because of unsatisfactory registrations, and 2 patients with diabetes mellitus were excluded from analyses of insulin and glucose.",14639093,with diabetes mellitus were excluded from analyses of insulin and glucose,po.SS,limingqi
4,"2 |||  ||| 0.2 ||| Thus, 115 hypertensive patients with left ventricular hypertrophy were randomized to receive double-blind irbesartan or atenolol, with additional therapy if needed.",14639093,andomized to receive double-blind irbesartan or atenolol,i.Procedure,limingqi
5,"3 |||  ||| 0.3 ||| Neurohormone measurements and echocardiography were performed at weeks 0, 12, 24, and 48.",14639093,"Neurohormone measurements and echocardiography were performed at weeks 0, 12, 24, and 48",i.Diagnostic,limingqi
6,20 ||| Study Design ||| 1.3 ||| The study drug doses were doubled after 6 weeks if DBP was greater than or equal to 90 mm Hg.,14639093,DBP was greater than or equal to 90 mm Hg,i.Procedure,limingqi
7,"21 ||| Study Design ||| 1.4 ||| If DBP remained greater than or equal to 90 mm Hg at week 12, open label hydrochlorothiazide 12.5 mg once daily (titrated to 25 mg if necessary) was added.",14639093,open label hydrochlorothiazide 12.5 mg once daily (titrated to 25 mg if necessary) was added,i.Procedure,limingqi
8,"92 ||| DISCUSSION ||| 3.1 ||| The major and novel finding of this study is that AT 1 -receptor blockade by irbesartan for 48 weeks progressively increases venous plasma Ang II levels, and that this increase relates to the regression of LV mass.",14639093,increases venous plasma Ang II levels,o.Treatment,limingqi
9,"106 ||| DISCUSSION ||| 3.15 ||| In addition, our results suggest attenuated aldosterone suppression in patients who received additional antihypertensive therapy.",14639093,attenuated aldosterone suppression in patients,o.Treatment,limingqi
10,109 ||| DISCUSSION ||| 3.18 ||| Our findings suggest that AT 1 -receptor blockade might not be sufficient to suppress aldosterone secretion during long-term antihypertensive therapy involving concomitant diuretic treatment.,14639093,suppress aldosterone secretion during long-term antihypertensive therapy involving concomitant diuretic treatment,o.Treatment,limingqi
11,"116 ||| DISCUSSION ||| 3.25 ||| Furthermore, insulin does not seem to have important direct actions on the heart related to the maintenance of LV hypertrophy.",14639093,on the heart related to the maintenance of LV hypertrophy,o.Treatment,limingqi
