,sentence,pubmed_id,content,label,labeler
0,75 ||| Statistical analysis ||| 4.26 ||| The mean delay between BMC preparation and intracoronary injection was   A total of 122 patients with successfully reperfused STEMI by PCI and stent implantation within 24 h of the onset of chest pain gave written informed consent and was enrolled in the study.,21127322,122 patients,po.Size,lingtaiwei
1,75 ||| Statistical analysis ||| 4.26 ||| The mean delay between BMC preparation and intracoronary injection was   A total of 122 patients with successfully reperfused STEMI by PCI and stent implantation within 24 h of the onset of chest pain gave written informed consent and was enrolled in the study.,21127322,patients with successfully reperfused STEMI by PCI and stent implantation,po.Procedure,lingtaiwei
2,75 ||| Statistical analysis ||| 4.26 ||| The mean delay between BMC preparation and intracoronary injection was   A total of 122 patients with successfully reperfused STEMI by PCI and stent implantation within 24 h of the onset of chest pain gave written informed consent and was enrolled in the study.,21127322,within 24 h of the onset of chest pain,po.PhyConditon,lingtaiwei
3,"26 ||| Methods ||| 3.4 ||| Screening criteria were: age 18 -75 years, a successful percutaneous coronary intervention (PCI) with bare metal stent implantation performed on the culprit lesion during the 24 h after the onset of symptoms, and LVEF ,50% assessed by echocardiography.",21127322,age 18 -75 years,po.Age,lingtaiwei
4,"79 ||| Statistical analysis ||| 4.30 ||| To analyse the primary endpoint of improvement of myocardial viability (Figure 2A), SPECT images were obtained from 43 and 47 patients in the control and BMC groups, respectively.",21127322,SPECT images were obtained from 43 and 47 patients in the control and BMC groups,i.Diagnostic,lingtaiwei
5,"80 ||| Statistical analysis ||| 4.31 ||| At 3 months after BMC infusion, 7/43 (16%) patients in the control group compared with 16/47 (34%) patients in the BMC group improved their myocardial viability (P ¼ 0.06) ( Figure 2B).",21127322,7/43 (16%) patients in the control group compared with 16/47 (34%) patients in the BMC group improved their myocardial viability,o.Patient,lingtaiwei
6,"45 ||| Methods ||| 3.23 ||| The primary endpoint-improvement of myocardial viability-was defined as a gain of at least 2/17 viable segments 3 months after STEMI, assessed by resting 4 h thallium-201-gated-SPECT.",21127322,assessed by resting 4 h thallium-201-gated-SPECT,i.Diagnostic,lingtaiwei
7,"83 ||| Statistical analysis ||| 4.34 ||| In a multivariate logistic regression analysis (Figure 3), including CV risk factors, time to PCI and the presence of microvascular obstruction on MRI, BMC infusion was significantly associated with improvement of myocardial viability (P ¼ 0.03).",21127322,multivariate logistic regression analysis,i.Diagnostic,lingtaiwei
8,"83 ||| Statistical analysis ||| 4.34 ||| In a multivariate logistic regression analysis (Figure 3), including CV risk factors, time to PCI and the presence of microvascular obstruction on MRI, BMC infusion was significantly associated with improvement of myocardial viability (P ¼ 0.03).",21127322,"including CV risk factors, time to PCI and the presence of microvascular obstruction on MRI",i.DiagnosticTest,lingtaiwei
9,"71 ||| Statistical analysis ||| 4.22 ||| In the BMC group, two patients were excluded before bone marrow aspiration because of a transient ischaemic attack and a randomization error; one patient did not have bone marrow aspiration because of thrombopenia induced by a GP2b3a inhibitor.",21127322,bone marrow aspiration,i.DiagnosticTest,lingtaiwei
10,"106 ||| Statistical analysis ||| 4.57 ||| Bone marrow cell infusion was associated with significant improvement in myocardial viability 3 months after AMI in a multivariate analysis including major post-MI prognostic factors, whereas there was a strong trend towards improvement in univariate analysis.",21127322,Bone marrow cell infusion was associated with significant improvement in myocardial viability,o.Treatment,lingtaiwei
11,1 ||| Conclusion ||| 1.1 ||| Intracoronary autologous BMC administration to patients with decreased LVEF after AMI was associated with improvement of myocardial viability in multivariate-but not in univariate-analysis.,21127322,Intracoronary autologous BMC administration to patients with decreased LVEF after AMI was associated with improvement of myocardial viability in multivariate-but not in univariate-analysis,o.Treatment,lingtaiwei
