,sentence,pubmed_id,content,label,labeler
0,"2 |||  ||| 0.2 ||| This randomized, double-blind, multicenter study assessed the long-term efficacy and safety of the direct renin inhibitor aliskiren in comparison with the diuretic hydrochlorothiazide in patients with essential hypertension.",19139391,the long-term efficacy and safety of the direct renin inhibitor aliskiren in comparison with the diuretic hydrochlorothiazide in patients with essential hypertension,pr.SS,limingqi
1,40 ||| Study Design ||| 3.3 ||| The primary objectives of this study were (1) to compare the long-term efficacy of an aliskiren-based regimen (with optional addition of amlodipine 5 or 10 mg to aliskiren 300 mg) with that of a hydrochlorothiazide-based regimen (with optional addition of,19139391,to compare the long-term efficacy of an aliskiren-based regimen (with optional addition of amlodipine 5 or 10 mg to aliskiren 300 mg) with that of a hydrochlorothiazide-based regimen,pr.SS,limingqi
2,27 ||| Patients ||| 2.2 ||| Patients eligible for inclusion were outpatients aged Ն18 years with essential hypertension (mean sitting diastolic BP [msDBP] Ն90 mm Hg and Ͻ110 mm Hg at the single-blind placebo run-in visit).,19139391,aged Ն18 years,po.Age,limingqi
3,27 ||| Patients ||| 2.2 ||| Patients eligible for inclusion were outpatients aged Ն18 years with essential hypertension (mean sitting diastolic BP [msDBP] Ն90 mm Hg and Ͻ110 mm Hg at the single-blind placebo run-in visit).,19139391,with essential hypertension,po.SS,limingqi
4,29 ||| Patients ||| 2.4 ||| Patients with a history of severe cardiovascular or cerebrovascular disease or other severe life threatening medical conditions were excluded.,19139391,with a history of severe cardiovascular or cerebrovascular disease or other severe life threatening medical conditions,po.SS,limingqi
5,"3 |||  ||| 0.3 ||| Methods and Results-After a 2-to 4-week placebo run-in, 1124 patients (mean sitting diastolic blood pressure [BP] 95 to 109 mm Hg) were randomized to aliskiren 150 mg (nϭ459), hydrochlorothiazide 12.5 mg (nϭ444), or placebo (nϭ221) once daily.",19139391,1124 patients,po.Size,limingqi
6,"3 |||  ||| 0.3 ||| Methods and Results-After a 2-to 4-week placebo run-in, 1124 patients (mean sitting diastolic blood pressure [BP] 95 to 109 mm Hg) were randomized to aliskiren 150 mg (nϭ459), hydrochlorothiazide 12.5 mg (nϭ444), or placebo (nϭ221) once daily.",19139391,"randomized to aliskiren 150 mg (nϭ459), hydrochlorothiazide 12.5 mg (nϭ444), or placebo (nϭ221) once daily",i.Procedure,limingqi
7,"4 |||  ||| 0.4 ||| Forced titration (to aliskiren 300 mg or hydrochlorothiazide 25 mg) occurred at week 3; at week 6, patients receiving placebo were reassigned (1:1 ratio) to aliskiren 300 mg or hydrochlorothiazide 25 mg. From week 12, amlodipine 5 mg was added and titrated to 10 mg from week 18 for patients whose BP remained uncontrolled.",19139391,Forced titration,i.Diagnostic,limingqi
8,"4 |||  ||| 0.4 ||| Forced titration (to aliskiren 300 mg or hydrochlorothiazide 25 mg) occurred at week 3; at week 6, patients receiving placebo were reassigned (1:1 ratio) to aliskiren 300 mg or hydrochlorothiazide 25 mg. From week 12, amlodipine 5 mg was added and titrated to 10 mg from week 18 for patients whose BP remained uncontrolled.",19139391,reassigned (1:1 ratio) to aliskiren 300 mg or hydrochlorothiazide 25 mg,i.Diagnostic,limingqi
9,"4 |||  ||| 0.4 ||| Forced titration (to aliskiren 300 mg or hydrochlorothiazide 25 mg) occurred at week 3; at week 6, patients receiving placebo were reassigned (1:1 ratio) to aliskiren 300 mg or hydrochlorothiazide 25 mg. From week 12, amlodipine 5 mg was added and titrated to 10 mg from week 18 for patients whose BP remained uncontrolled.",19139391,amlodipine 5 mg was added,i.Diagnostic,limingqi
10,"4 |||  ||| 0.4 ||| Forced titration (to aliskiren 300 mg or hydrochlorothiazide 25 mg) occurred at week 3; at week 6, patients receiving placebo were reassigned (1:1 ratio) to aliskiren 300 mg or hydrochlorothiazide 25 mg. From week 12, amlodipine 5 mg was added and titrated to 10 mg from week 18 for patients whose BP remained uncontrolled.",19139391,titrated to 10 mg,i.Diagnostic,limingqi
11,"18 ||| Methods ||| 1.2 ||| Patients not meeting the eligibility requirements for BP after 2 weeks could continue for an additional 2 weeks to establish eligibility, after which patients not meeting the criteria were discontinued from the study.",19139391,not meeting the criteria were discontinued,i.Procedure,limingqi
12,"49 ||| Patient Characteristics ||| 5.2 ||| Clinic BP was measured at baseline and at weeks 3, 6, 9, 12, 15, 18, 21, 26, 35, 44, and 52.",19139391,Clinic BP,i.DiagnosticTest,limingqi
13,114 ||| Discussion ||| 7.2 ||| The major finding of the study was that aliskiren 300 mg monotherapy was superior to hydrochlorothiazide 25 mg monotherapy in lowering BP.,19139391,aliskiren 300 mg monotherapy was superior to,o.Treatment,limingqi
14,"115 ||| Discussion ||| 7.3 ||| In addition, during long-term treatment, aliskiren-based therapy (with optional addition of amlodipine) provided significantly greater BP reductions than hydrochlorothiazide-based therapy.",19139391,aliskiren-based therapy (with optional addition of amlodipine) provided significantly greater,o.Treatment,limingqi
15,"122 ||| Discussion ||| 7.10 ||| Furthermore, the tolerability profile of the aliskiren/ amlodipine combination, which is as important as efficacy, was similar to other aliskiren-based regimens.",19139391,"the tolerability profile of the aliskiren/ amlodipine combination, which is as important as efficacy",o.Treatment,limingqi
16,"135 ||| Discussion ||| 7.23 ||| In conclusion, aliskiren-based therapy (with optional add-on amlodipine) provided significantly greater BP reductions than hydrochlorothiazide-based therapy during longterm (6 months) treatment in patients with hypertension.",19139391,aliskiren-based therapy (with optional add-on amlodipine) provided significantly greater BP,o.Treatment,limingqi
17,"136 ||| Discussion ||| 7.24 ||| Furthermore, aliskiren 300 mg monotherapy was superior to hydrochlorothiazide 25 mg monotherapy in lowering BP.",19139391,aliskiren 300 mg monotherapy was superior to,o.Treatment,limingqi
