,sentence,pubmed_id,content,label,labeler
0,5 |||  ||| 0.5 ||| The study population consisted of 27 consecutive patients (age 59 Ϯ 12 years; 81% males) with the first ST-segment elevation acute anterior myocardial infarction due to occlusion of the proximal left anterior descending artery (LAD) who had undergone successful primary stented PCI.,17572255,27 consecutive patients,po.Size,lingtaiwei
1,5 |||  ||| 0.5 ||| The study population consisted of 27 consecutive patients (age 59 Ϯ 12 years; 81% males) with the first ST-segment elevation acute anterior myocardial infarction due to occlusion of the proximal left anterior descending artery (LAD) who had undergone successful primary stented PCI.,17572255,age 59 Ϯ 12 years,po.Age,lingtaiwei
2,5 |||  ||| 0.5 ||| The study population consisted of 27 consecutive patients (age 59 Ϯ 12 years; 81% males) with the first ST-segment elevation acute anterior myocardial infarction due to occlusion of the proximal left anterior descending artery (LAD) who had undergone successful primary stented PCI.,17572255, 81% males,po.Gender,lingtaiwei
3,5 |||  ||| 0.5 ||| The study population consisted of 27 consecutive patients (age 59 Ϯ 12 years; 81% males) with the first ST-segment elevation acute anterior myocardial infarction due to occlusion of the proximal left anterior descending artery (LAD) who had undergone successful primary stented PCI.,17572255,with the first ST-segment elevation acute anterior myocardial infarction,po.Disease,lingtaiwei
4,5 |||  ||| 0.5 ||| The study population consisted of 27 consecutive patients (age 59 Ϯ 12 years; 81% males) with the first ST-segment elevation acute anterior myocardial infarction due to occlusion of the proximal left anterior descending artery (LAD) who had undergone successful primary stented PCI.,17572255, due to occlusion of the proximal left anterior descending artery (LAD) who had undergone successful primary stented PCI.,po.Procedure,lingtaiwei
5,"4 |||  ||| 0.4 ||| Therefore, we designed a randomized study to test the safety and efficacy of intracoronary injection of autologous bone marrow-derived mononuclear cells (BMNCs) in patients with large acute anterior myocardial infarction and late presentation who were treated with successful primary PCI.",17572255,the safety and efficacy of intracoronary injection of autologous bone marrow-derived mononuclear cells (BMNCs) in patients with large acute anterior myocardial infarction and late presentation who were treated with successful primary PCI.,pr.Disease,lingtaiwei
6,8 |||  ||| 0.8 ||| Eligible patients were randomly assigned in a 2:1 ratio either to intracoronary BMNCs injection (n ϭ 17) or standard medical therapy (n ϭ 10).,17572255,were randomly assigned in a 2:1 ratio either to intracoronary BMNCs injection (n ϭ 17) or standard medical therapy (n ϭ 10),i.Diagnostic,lingtaiwei
7,"37 |||  ||| 0.37 ||| This randomized study showed that, in patients with large acute anterior myocardial infarction and late presentation, intracoronary infusion of BMNCs in the infarct-related coronary artery at a median of 9 days after primary PCI does neither increase recovery of LV ejection fraction nor reduce LV volumes and infarct size at 4 months, as compared with control subjects.",17572255,intracoronary infusion of BMNCs in the infarct-related coronary artery,i.Procedure,lingtaiwei
8,"24 |||  ||| 0.24 ||| In the BMNCs group, insignificantly more dysfunctional segments showed improvement in contractile function as compared with the control group.",17572255,"In the BMNCs group, insignificantly more dysfunctional segments showed improvement in contractile function as compared with the control group.",o.Treatment,lingtaiwei
9,"37 |||  ||| 0.37 ||| This randomized study showed that, in patients with large acute anterior myocardial infarction and late presentation, intracoronary infusion of BMNCs in the infarct-related coronary artery at a median of 9 days after primary PCI does neither increase recovery of LV ejection fraction nor reduce LV volumes and infarct size at 4 months, as compared with control subjects.",17572255," in patients with large acute anterior myocardial infarction and late presentation, intracoronary infusion of BMNCs in the infarct-related coronary artery at a median of 9 days after primary PCI does neither increase recovery of LV ejection fraction nor reduce LV volumes and infarct size at 4 months, as compared with control subjects.",o.Treatment,lingtaiwei
10,28 |||  ||| 0.28 ||| He had a complicated PCI followed by coronary artery bypass grafting and died 2 weeks later from sepsis and acute respiratory distress syndrome.,17572255,had a complicated PCI,i.Diagnostic,lingtaiwei
