,sentence,pubmed_id,content,label,labeler
0,"11 |||  ||| 0.11 ||| Patients with ongoing congestive heart failure, liver dysfunction (aspartate aminotransferase ≥40 IU/L), renal dysfunction (creatinine ≥2.0 mg/dl), or systemic diseases, including malignancy and collagen disease, were excluded.",18654005,ongoing congestive heart failure,po.Disease,zmj
1,2 |||  ||| 0.2 ||| Methods and Results Thirty-four male CAD patients (>65 years old) were randomly assigned to an intervention group (n=18) or a control group (n=16).,18654005,Thirty-four male CAD patients,po.Size,zmj
2,2 |||  ||| 0.2 ||| Methods and Results Thirty-four male CAD patients (>65 years old) were randomly assigned to an intervention group (n=18) or a control group (n=16).,18654005,Thirty-four male CAD patients,po.Gender,zmj
3,2 |||  ||| 0.2 ||| Methods and Results Thirty-four male CAD patients (>65 years old) were randomly assigned to an intervention group (n=18) or a control group (n=16).,18654005,Thirty-four male CAD patients,pr.Disease,zmj
4,2 |||  ||| 0.2 ||| Methods and Results Thirty-four male CAD patients (>65 years old) were randomly assigned to an intervention group (n=18) or a control group (n=16).,18654005,>65 years old,po.Age,zmj
5,"18 |||  ||| 0.18 ||| In the intervention group, subjects participated in an outpatient phase III cardiac rehabilitation program, while the control group received usual outpatient care, including monthly medical examination by the physician in charge.",18654005,an outpatient phase III cardiac rehabilitation program,i.Procedure,zmj
6,"26 |||  ||| 0.26 ||| In addition to the weekly supervised exercise sessions, subjects were encouraged to perform aerobic exercise twice weekly (≥30 min) at home at an intensity of heat rate of AT or a rating of 12-13 on the Borg scale.",18654005,aerobic exercise twice weekly (≥30 min) ,i.Procedure,zmj
7,"24 |||  ||| 0.24 ||| In the intervention group, subjects participated in a weekly outpatient phase III cardiac rehabilitation program that included an exercise session, exercise prescription, dietary instruction and an educational program for 6 months as described previously.",18654005,"exercise session, exercise prescription, dietary instruction",i.Procedure,zmj
8,"28 |||  ||| 0.28 ||| In the intervention group, patients were instructed about the phase II diet of the American Heart Association at the beginning and every 2 months of the study.",18654005,phase II diet of the American Heart Association,i.Procedure,zmj
9,"7 |||  ||| 0.7 ||| In the intervention group, serum total cholesterol levels significantly decreased after cardiac rehabilitation.",18654005,serum total cholesterol levels significantly decreased,o.Treatment,zmj
10,10 |||  ||| 0.10 ||| Conclusions The results suggest that phase III cardiac rehabilitation could be beneficial for elderly patients with CAD.,18654005,phase III cardiac rehabilitation could be beneficial for elderly patients with CAD,o.Treatment,zmj
