,sentence,pubmed_id,content,label,labeler
0,"8 ||| Conclusions ||| 1.8 ||| Inclusion criteria were an age of 40 to 75 years, the presence of ST-elevation myocardial infarction of the anterior wall and treatment with PCI 2 to 12 hours after the onset of symptoms, successful PCI with stent implantation performed on the culprit lesion in the left anterior descending coronary artery proximal to the second diagonal branch, three or more hypokinetic leftventricle segments observed on echocardiography, and a creatine kinase MB level more than three times the upper reference value.",16990383,40 to 75 years,po.Age,lingtaiwei
1,"45 ||| Statistical Analysis ||| 2.16 ||| Among all patients, the mean age was 57.4±9.1 years, the median time from the onset of symptoms to PCI was 210 minutes (interquartile range, 180 to 330), and the median value for maximum creatine kinase MB was 369 μg per liter (interquartile range, 220 to 444).",16990383, the median time from the onset of symptoms to PCI was 210 minutes,po.PhyConditon,lingtaiwei
2,"45 ||| Statistical Analysis ||| 2.16 ||| Among all patients, the mean age was 57.4±9.1 years, the median time from the onset of symptoms to PCI was 210 minutes (interquartile range, 180 to 330), and the median value for maximum creatine kinase MB was 369 μg per liter (interquartile range, 220 to 444).",16990383, the median value for maximum creatine kinase MB was 369 μg per liter ,po.PhyConditon,lingtaiwei
3,"45 ||| Statistical Analysis ||| 2.16 ||| Among all patients, the mean age was 57.4±9.1 years, the median time from the onset of symptoms to PCI was 210 minutes (interquartile range, 180 to 330), and the median value for maximum creatine kinase MB was 369 μg per liter (interquartile range, 220 to 444).",16990383,the mean age was 57.4±9.1 years,po.Age,lingtaiwei
4,"8 ||| Conclusions ||| 1.8 ||| Inclusion criteria were an age of 40 to 75 years, the presence of ST-elevation myocardial infarction of the anterior wall and treatment with PCI 2 to 12 hours after the onset of symptoms, successful PCI with stent implantation performed on the culprit lesion in the left anterior descending coronary artery proximal to the second diagonal branch, three or more hypokinetic leftventricle segments observed on echocardiography, and a creatine kinase MB level more than three times the upper reference value.",16990383, the presence of ST-elevation myocardial infarction of the anterior wall,po.PhyConditon,lingtaiwei
5,"8 ||| Conclusions ||| 1.8 ||| Inclusion criteria were an age of 40 to 75 years, the presence of ST-elevation myocardial infarction of the anterior wall and treatment with PCI 2 to 12 hours after the onset of symptoms, successful PCI with stent implantation performed on the culprit lesion in the left anterior descending coronary artery proximal to the second diagonal branch, three or more hypokinetic leftventricle segments observed on echocardiography, and a creatine kinase MB level more than three times the upper reference value.",16990383,treatment with PCI 2 to 12 hours after the onset of symptoms,po.Treatment,lingtaiwei
6,"8 ||| Conclusions ||| 1.8 ||| Inclusion criteria were an age of 40 to 75 years, the presence of ST-elevation myocardial infarction of the anterior wall and treatment with PCI 2 to 12 hours after the onset of symptoms, successful PCI with stent implantation performed on the culprit lesion in the left anterior descending coronary artery proximal to the second diagonal branch, three or more hypokinetic leftventricle segments observed on echocardiography, and a creatine kinase MB level more than three times the upper reference value.",16990383,successful PCI with stent implantation performed on the culprit lesion in the left anterior descending coronary artery proximal to the second diagonal branch,po.Treatment,lingtaiwei
7,"22 ||| Conclusions ||| 1.22 ||| The aspirate was centrifuged on a Ficoll density gradient to isolate the mononuclear cells, which were washed and resuspended in heparin-treated plasma.",16990383,isolate the mononuclear cells,i.Diagnostic,lingtaiwei
8,"22 ||| Conclusions ||| 1.22 ||| The aspirate was centrifuged on a Ficoll density gradient to isolate the mononuclear cells, which were washed and resuspended in heparin-treated plasma.",16990383,mononuclear cells were washed and resuspended in heparin-treated plasma,i.Diagnostic,lingtaiwei
9,"65 ||| Statistical Analysis ||| 2.36 ||| After SPECT, echocardiography, and MRI were performed at 6 months, coronary angiography was carried out according to the standard protocol, resulting in PCI being performed for culpritlesion restenosis in eight patients in each group and coronary-artery bypass grafting being performed in two patients in the mononuclear BMC group and one in the control group.",16990383," SPECT, echocardiography, and MRI were performed",i.Diagnostic,lingtaiwei
10,"65 ||| Statistical Analysis ||| 2.36 ||| After SPECT, echocardiography, and MRI were performed at 6 months, coronary angiography was carried out according to the standard protocol, resulting in PCI being performed for culpritlesion restenosis in eight patients in each group and coronary-artery bypass grafting being performed in two patients in the mononuclear BMC group and one in the control group.",16990383,coronary angiography was carried out,i.Diagnostic,lingtaiwei
11,"91 ||| Discussion ||| 3.19 ||| Although the cell population that may be responsible for a regenerative effect has not yet been identified, the level of circulating CD34+ endothelial progenitor cells is predictive of future cardiovascular events, 30 and bone marrow-derived CD34+ cells could be important for cardiovascular repair.",16990383,the level of circulating CD34+ endothelial progenitor cells is predictive of future cardiovascular events,o.Treatment,lingtaiwei
12,"46 ||| Statistical Analysis ||| 2.17 ||| Intracoronary cell injection was performed a median of 6 days (interquartile range, 5 to 6) after the acute PCI.",16990383,acute PCI,i.Diagnostic,lingtaiwei
