,sentence,pubmed_id,content,label,labeler
0,"3 |||  ||| 0.3 ||| Patients A total of 1677 patients (aged 18-80 years) recruited between April 1996 and October 1998 with stable or unstable angina or silent ischemia following successful completion of their first PCI who had baseline total cholesterol levels between 135 and 270 mg/dL (3.5-7.0 mmol/L), with fasting triglyceride levels of less than 400 mg/dL (4.5 mmol/L).",12076217,A total of 1677 patients,po.Size,HeYingzhi
1,"3 |||  ||| 0.3 ||| Patients A total of 1677 patients (aged 18-80 years) recruited between April 1996 and October 1998 with stable or unstable angina or silent ischemia following successful completion of their first PCI who had baseline total cholesterol levels between 135 and 270 mg/dL (3.5-7.0 mmol/L), with fasting triglyceride levels of less than 400 mg/dL (4.5 mmol/L).",12076217,aged 18-80 years,po.Age,HeYingzhi
2,"3 |||  ||| 0.3 ||| Patients A total of 1677 patients (aged 18-80 years) recruited between April 1996 and October 1998 with stable or unstable angina or silent ischemia following successful completion of their first PCI who had baseline total cholesterol levels between 135 and 270 mg/dL (3.5-7.0 mmol/L), with fasting triglyceride levels of less than 400 mg/dL (4.5 mmol/L).",12076217,stable or unstable angina or silent ischemia following successful completion of their first PCI,po.Procedure,HeYingzhi
3,"36 ||| Study Design ||| 2.2 ||| Men and women aged 18 to 80 years were recruited from 57 interventional centers in 10 countries (Belgium, France, Germany, Italy, United Kingdom, the Netherlands, Spain, Switzerland, Canada, and Brazil).",12076217,Men and women,po.Gender,HeYingzhi
4,"41 ||| Study Design ||| 2.7 ||| Patients were eligible for enrollment in the study if they had a total cholesterol level between 135 and 270 mg/dL (3.5-7.0 mmol/L), with fasting triglyceride levels of less than 400 mg/dL (4.5 mmol/L) before the index procedure.",12076217,"total cholesterol level between 135 and 270 mg/dL (3.5-7.0 mmol/L), with fasting triglyceride levels of less than 400 mg/dL (4.5 mmol/L) before the index procedure",po.PhyConditon,HeYingzhi
5,"17 |||  ||| 0.17 ||| Interventions Patients were randomly assigned to receive treatment with fluvastatin, 80 mg/d (n = 844), or matching placebo (n = 833) at hospital discharge for 3 to 4 years.",12076217,"fluvastatin, 80 mg/d (n = 844), or matching placebo (n = 833) at hospital discharge",i.Procedure,HeYingzhi
6,"77 ||| Patients ||| 6.1 ||| Between April 1996 and October 1998, a total of 1677 patients were recruited and were randomly assigned to receive either fluvastatin (n = 844) or placebo (n = 833) (FIGURE 1).",12076217,patients were recruited and were randomly assigned to receive either fluvastatin (n = 844) or placebo (n = 833),i.Procedure,HeYingzhi
7,"17 |||  ||| 0.17 ||| Interventions Patients were randomly assigned to receive treatment with fluvastatin, 80 mg/d (n = 844), or matching placebo (n = 833) at hospital discharge for 3 to 4 years.",12076217,3 to 4 years,i.Procedure,HeYingzhi
8,"88 ||| Patients ||| 6.12 ||| During the study, 97% of patients in the fluvastatin group and 98% in the placebo group were taking aspirin.",12076217,97% of patients in the fluvastatin group and 98% in the placebo group were taking aspirin,i.Procedure,HeYingzhi
9,"89 ||| Patients ||| 6.13 ||| The proportion of patients taking other cardiovascular drugs during the study, such as ␤-blockers, calcium antagonists, nitrates, angiotensin-converting enzyme inhibitors, and diuretics, was similar between groups (Table 1).",12076217,"The proportion of patients taking other cardiovascular drugs during the study, such as ␤-blockers, calcium antagonists, nitrates, angiotensin-converting enzyme inhibitors, and diuretics, was similar between groups",i.SS,HeYingzhi
10,"104 ||| Patients ||| 6.28 ||| At study end, however, the median reduction in fasting triglycerides was 14% in both groups.",12076217,the median reduction in fasting triglycerides was 14% in both groups,i.SS,HeYingzhi
11,"124 ||| Patients ||| 6.48 ||| Results of the LIPS study show that in patients with average cholesterol levels, early cholesterol-lowering treatment with fluvastatin, 80 mg/d, following first PCI with or without stenting resulted in a 5.3% absolute reduction and a 22% relative reduction in the risk of fatal or nonfatal major adverse cardiac events during 4 years of follow-up compared with placebo.",12076217,"patients with average cholesterol levels, early cholesterol-lowering treatment with fluvastatin, 80 mg/d, following first PCI with or without stenting resulted in a 5.3% absolute reduction and a 22% relative reduction in the risk of fatal or nonfatal major adverse cardiac events",o.Patient,HeYingzhi
