,sentence,pubmed_id,content,label,labeler
0,"4 |||  ||| 0.4 ||| Patients The study population comprised 166 newly diagnosed hypertensive individuals (aged 60-75 years) with diastolic blood pressure between 95 and 115 mmHg or systolic blood pressure between 160 and 220 mmHg, or both.",15201546,166,po.Size,HeYingzhi
1,"4 |||  ||| 0.4 ||| Patients The study population comprised 166 newly diagnosed hypertensive individuals (aged 60-75 years) with diastolic blood pressure between 95 and 115 mmHg or systolic blood pressure between 160 and 220 mmHg, or both.",15201546,aged 60-75 years,po.Age,HeYingzhi
2,"4 |||  ||| 0.4 ||| Patients The study population comprised 166 newly diagnosed hypertensive individuals (aged 60-75 years) with diastolic blood pressure between 95 and 115 mmHg or systolic blood pressure between 160 and 220 mmHg, or both.",15201546,newly diagnosed hypertensive,po.Disease,HeYingzhi
3,42 ||| Patients ||| 3.9 ||| Patients with hypertension and aged between 60 and 75 years were selected for the study and advised to restrict their salt intake (low-salt diet).,15201546,advised to restrict their salt intake (low-salt diet),po.Treatment,HeYingzhi
4,8 |||  ||| 0.8 ||| Intervention Patients were allocated randomly to groups to receive amlodipine 5-10 mg or lisinopril 10-20 mg for 2 years.,15201546,Patients were allocated randomly to groups to receive amlodipine 5-10 mg or lisinopril 10-20 mg for 2 years,i.Procedure,HeYingzhi
5,"44 ||| Patients ||| 3.11 ||| If blood pressure remained stable during this run-in period, the patients were randomly assigned to the double-blind treatment phase, to receive 5 mg amlodipine or 10 mg lisinopril.",15201546,"If blood pressure remained stable during this run-in period, the patients were randomly assigned to the double-blind treatment phase, to receive 5 mg amlodipine or 10 mg lisinopril.",i.Procedure,HeYingzhi
6,45 ||| Patients ||| 3.12 ||| After 6 weeks of active treatment the dosage was increased to 10 mg amlodipine and 20 mg lisinopril.,15201546,After 6 weeks of active treatment the dosage was increased to 10 mg amlodipine and 20 mg lisinopril.,i.Procedure,HeYingzhi
7,"9 |||  ||| 0.9 ||| Conclusion In a long-term study, amlodipine and lisinopril reduce IMT to a similar extent in newly diagnosed elderly hypertensive patients.",15201546,amlodipine and lisinopril reduce IMT to a similar extent in newly diagnosed elderly hypertensive patients.,o.Treatment,HeYingzhi
8,"137 ||| Discussion ||| 7.26 ||| Therefore, it seems that both drugs have the same effect on atherosclerosis-prone arterial segments, and possibly different effects on segments that are not susceptible to atherosclerosis.",15201546,"both drugs have the same effect on atherosclerosis-prone arterial segments, and possibly different effects on segments that are not susceptible to atherosclerosis",o.Treatment,HeYingzhi
9,"138 ||| Discussion ||| 7.27 ||| It has been shown that nifedipine improves endothelial function in patients with hypercholesterolaemia, independent of the effect on blood pressure or plasma lipids [28].",15201546,"nifedipine improves endothelial function in patients with hypercholesterolaemia, independent of the effect on blood pressure or plasma lipids [28].",o.Treatment,HeYingzhi
10,"140 ||| Discussion ||| 7.29 ||| Our findings are also in line with the findings of the Verapamil-Hypertension Atherosclerosis Study, in which the calcium channel blocker verapamil reduced carotid lesions after 4 years of treatment [23].",15201546,calcium channel blocker verapamil reduced carotid lesions after 4 years of treatment,o.Patient,HeYingzhi
11,"173 ||| Discussion ||| 7.62 ||| In conclusion, the calcium channel blocker amlodipine and the ACE inhibitor lisinopril had similar effects on the combined IMT of the carotid and femoral arteries in these previously untreated, elderly patients with hypertensivon after 2 years of treatment.",15201546,"the calcium channel blocker amlodipine and the ACE inhibitor lisinopril had similar effects on the combined IMT of the carotid and femoral arteries in these previously untreated, elderly patients with hypertensivon after 2 years of treatment",o.Patient,HeYingzhi
12,"174 ||| Discussion ||| 7.63 ||| Different intervention effects of calcium channel antagonists and ACE inhibitors in various parts of the arterial tree were present, with differential effects of treatment on arterial segments that are not susceptible to atherosclerosis.",15201546,"Different intervention effects of calcium channel antagonists and ACE inhibitors in various parts of the arterial tree were present, with differential effects of treatment on arterial segments that are not susceptible to atherosclerosis.",o.Treatment,HeYingzhi
