,sentence,pubmed_id,content,label,labeler
0,1 |||  ||| 0.1 ||| Efficacy of misoprostol was studied for induction of labor at term.,15325864,Efficacy of misoprostol,pr.Disease,ml
1,"7 |||  ||| 0.7 ||| Seventy term-pregnant women (37-42 weeks gestation) were randomized to Group A or B, after informed written consent and excluding the following-cervix favorable for amniotomy (Bishop score)6), non-vertex presentation, intrauterine demise, previous uterine scar, oligohydramnios, intrauterine growth retardation, multifetal pregnancy, clinical evidence of cardiopulmonaryyhepaticyrenal disease, electrolyte abnormalities, pre-eclampsiayeclampsia.",15325864,Seventy term-pregnant women,po.Size,ml
2,"17 |||  ||| 0.17 ||| Group B (ns34) received controlled oxytocin intravenous infusion, initiated at 2 mUy min; stepped up by 2 mUymin every 15 min until optimal response, then continued at the same rate until delivery.",15325864,received controlled oxytocin intravenous infusion,i.Procedure,ml
3,"18 |||  ||| 0.18 ||| Induction-delivery interval for vaginal deliveries, mode of delivery, Apgar score at 1 and 5 min, need for neonatal resuscitation and presence of neonatal asphyxia were recorded.",15325864,"mode of delivery, Apgar score at 1 and 5 min",i.Procedure,ml
4,"2 |||  ||| 0.2 ||| Seventy patients were randomized to Group A (ns36, oral misoprostol 50 mg four hourly to maximum of 5 doses) and B (ns34, continuous oxytocin infusion).",15325864,"randomized to Group A (ns36, oral misoprostol 50 mg four hourly to maximum of 5 doses) and B (ns34, continuous oxytocin infusion)",i.Procedure,ml
5,"20 |||  ||| 0.20 ||| In Group A, 22.2% needed 50 mg oral misoprostol while 44.4% and 27.8%, respectively, required 2 and 3 doses.",15325864,"50 mg oral misoprostol while 44.4% and 27.8%, respectively, required 2 and 3 doses",i.Procedure,ml
6,"21 |||  ||| 0.21 ||| In Group B, 38.2% each required a maximum oxytocin infusion rate of 6 mUymin and 8 mUymin, while 23.6% needed higher rates.",15325864," 38.2% each required a maximum oxytocin infusion rate of 6 mUymin and 8 mUymin, while 23.6% needed higher rates",i.Procedure,ml
7,"23 |||  ||| 0.23 ||| Period of gestation did not correlate with cumulative misoprostol (rsy0.24, PsNS) or cumulative oxytocin dose (rsy0.11, PsNS); suggesting that same dose is effective for all term pregnancies, whether 37 weeks or 41 weeks.",15325864,"same dose is effective for all term pregnancies, whether 37 weeks or 41 weeks",i.DiagnosticTest,ml
8,"27 |||  ||| 0.27 ||| Oral misoprostol is associated with shorter duration of labor and shorter induction-delivery interval, with no difference in neonatal or maternal outcomes w1x.",15325864,shorter induction-delivery interval,i.SS,ml
9,"3 |||  ||| 0.3 ||| Induction-delivery interval was shorter with misoprostol (7.7""2.8 h against 14.3""4.8 h with oxytocin) but the rates of vaginal delivery, cesarean, neonatal outcome variables were similar.",15325864, Induction-delivery interval was shorter with misoprostol,i.SS,ml
10,"7 |||  ||| 0.7 ||| Seventy term-pregnant women (37-42 weeks gestation) were randomized to Group A or B, after informed written consent and excluding the following-cervix favorable for amniotomy (Bishop score)6), non-vertex presentation, intrauterine demise, previous uterine scar, oligohydramnios, intrauterine growth retardation, multifetal pregnancy, clinical evidence of cardiopulmonaryyhepaticyrenal disease, electrolyte abnormalities, pre-eclampsiayeclampsia.",15325864,Seventy term-pregnant women (37-42 weeks gestation) were randomized to Group A or B,i.Procedure,ml
11,25 |||  ||| 0.25 ||| Misoprostol alone induced sufficient uterine contractions and induction-delivery interval was half of that with oxytocin.,15325864, sufficient uterine contractions and induction-delivery interval,o.Treatment,ml
12,"4 |||  ||| 0.4 ||| Hence, misoprostol is an effective agent for induction of labor at term.",15325864,is an effective agent for induction of labor at term,o.Patient,ml
